ProductID,ProductName,ProductCategory,UnitPrice
1,ApexBook 14 Laptop,Computers,899.99
2,ApexBook Pro 16,Computers,1399.99
3,MiniDesk PC,Computers,649.99
4,Wireless Pro Mouse,Accessories,59.99
5,Mechanical Keyboard,Accessories,89.99
6,USB-C Dock,Accessories,119.99
7,Laptop Stand,Accessories,39.99
8,Wireless Headphones,Audio,149.99
9,Studio Pro Headset,Audio,199.99
10,Bluetooth Speaker,Audio,79.99
11,24-inch Monitor,Displays,179.99
12,27-inch Pro Monitor,Displays,329.99
13,34-inch Gaming Monitor,Displays,549.99
14,Gaming Controller,Gaming,69.99
15,Gaming Keyboard,Gaming,129.99
16,WiFi 6 Router,Networking,159.99
17,1TB Portable SSD,Storage,109.99
18,2TB Pro SSD,Storage,189.99
19,4TB External Drive,Storage,129.99
20,10-Port USB Hub,Accessories,49.99
